Product Name,Price,Image URL,Product Page,Brand,Category,Date Scraped
Cropped Sleeveless Button Up Shirt,2190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0319603418_6.jpg?v=1750240181,https://www.outfitters.com.pk/products/f0319-603,Outfitters,Shirts,7/30/2025
Slogan T-Shirt,2490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1602106915_6.jpg?v=1753446609,https://www.outfitters.com.pk/products/f1602-106,Outfitters,Shirts,7/30/2025
Basic Crochet T-Shirt,2090.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0694606427_2.jpg?v=1753445789,https://www.outfitters.com.pk/products/f0694-606,Outfitters,Shirts,7/30/2025
Super Cropped T-shirt With Washed-out Effect,1590.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0688206619_2.jpg?v=1734933877,https://www.outfitters.com.pk/products/f0688-206,Outfitters,Shirts,7/30/2025
Slogan T-Shirt,2290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0887206305_2_983a63a9-8d13-4c33-9079-d92a6b298287.jpg?v=1750847455,https://www.outfitters.com.pk/products/f0887-206,Outfitters,Shirts,7/30/2025
Graphic T-shirt,1690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1332106630_3_c0fc2a70-c924-4ec0-b631-d05bf174c85c.jpg?v=1750781099,https://www.outfitters.com.pk/products/f1332-106,Outfitters,Shirts,7/30/2025
Graphic T-Shirt,690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0697306902_690062d6-3c19-4b6f-977e-0bfe784d93da.jpg?v=1750239405,https://www.outfitters.com.pk/products/f0697-306,Outfitters,Shirts,7/30/2025
Graphic T-shirt,1390.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1181106814_1.jpg?v=1750241830,https://www.outfitters.com.pk/products/f1181-106,Outfitters,Shirts,7/30/2025
Basic Ribbed T-shirt,1890.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0966206814.jpg?v=1753427905,https://www.outfitters.com.pk/products/f0966-206,Outfitters,Shirts,7/30/2025
Graphic T-shirt,1190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1172106001_4_c2c874a8-0f11-460f-ab7c-c88e4f579bfc.jpg?v=1750241840,https://www.outfitters.com.pk/products/f1172-106,Outfitters,Shirts,7/30/2025
Super Cropped Textured T-shirt,3990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1049206815_3_96fb9f08-63c2-4345-b5f5-10e0b2001cdc.jpg?v=1753162113,https://www.outfitters.com.pk/products/f1049-206,Outfitters,Shirts,7/30/2025
Graphic T-Shirt With Frill Sleeves,690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0463406722_2.jpg?v=1750240689,https://www.outfitters.com.pk/products/f0463-406,Outfitters,Shirts,7/30/2025
Striped Shirt,4490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0996103007_2_copy.jpg?v=1753677322,https://www.outfitters.com.pk/products/f0996-103,Outfitters,Shirts,7/30/2025
Checkered Shirt,4490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0861103621.jpg?v=1753425285,https://www.outfitters.com.pk/products/f0861-103,Outfitters,Shirts,7/30/2025
Color Block Activewear T-shirt,3090.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0169125618_3_copy.jpg?v=1753075371,https://www.outfitters.com.pk/products/f0169-125,Outfitters,Shirts,7/30/2025
Striped Shirt,3090.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0442503622_1.jpg?v=1753074689,https://www.outfitters.com.pk/products/f0442-503,Outfitters,Shirts,7/30/2025
Checkered Shirt,3290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0436503703_1_800aa052-c5e6-44f2-a837-3c878327aa4e.jpg?v=1753074439,https://www.outfitters.com.pk/products/f0436-503,Outfitters,Shirts,7/30/2025
Textured Shirt,2490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0399303001_1.jpg?v=1753072353,https://www.outfitters.com.pk/products/f0399-303,Outfitters,Shirts,7/30/2025
